TIME,VALUE
08/02/2011,0.029
08/03/2011,0.026
08/04/2011,0.032
08/05/2011,0.024
08/06/2011,0.02
08/07/2011,0.019
08/08/2011,0.019
08/09/2011,0.024
08/10/2011,0.021
08/11/2011,0.024
08/12/2011,0.026
08/13/2011,0.033
08/14/2011,0.039
08/15/2011,0.026
08/16/2011,0.033
08/17/2011,0.034
08/18/2011,0.025
08/19/2011,0.028
08/20/2011,0.035
08/21/2011,0.034
08/22/2011,0.04
08/23/2011,0.038
08/24/2011,0.029
08/25/2011,0.022
08/26/2011,0.022
08/27/2011,0.031
08/28/2011,0.033
08/29/2011,0.05
08/30/2011,0.034
08/31/2011,0.061
09/01/2011,0.04
09/02/2011,0.05
09/03/2011,0.032
09/04/2011,0.025
09/05/2011,0.032
09/06/2011,0.035
09/07/2011,0.058
09/08/2011,0.036
09/09/2011,0.038
09/10/2011,0.031
09/11/2011,0.072
09/12/2011,0.047
09/13/2011,0.062
09/14/2011,0.058
09/15/2011,0.035
09/16/2011,0.041
09/17/2011,0.072
09/18/2011,0.087
09/19/2011,0.046
09/20/2011,0.043
09/21/2011,0.04
09/22/2011,0.055
09/23/2011,0.049
09/24/2011,0.07
09/25/2011,0.079
09/26/2011,0.068
09/27/2011,0.05
09/28/2011,0.061
09/29/2011,0.047
09/30/2011,0.049
10/01/2011,0.049
10/02/2011,0.076
10/03/2011,0.045
10/04/2011,0.08
10/05/2011,0.095
10/06/2011,0.062
10/07/2011,0.044
10/08/2011,0.034
10/09/2011,0.067
10/10/2011,0.068
10/11/2011,0.033
10/12/2011,0.056
10/13/2011,0.054
10/14/2011,0.033
10/15/2011,0.035
10/16/2011,0.031
10/17/2011,0.044
10/18/2011,0.03
10/19/2011,0.066
10/20/2011,0.069
10/21/2011,0.06
10/22/2011,0.048
10/23/2011,0.062
10/24/2011,0.036
10/25/2011,0.042
10/26/2011,0.069
10/27/2011,0.096
10/28/2011,0.103
10/29/2011,0.105
10/30/2011,0.117
10/31/2011,0.058
11/01/2011,0.106
11/02/2011,0.058
11/03/2011,0.061
11/04/2011,0.04
11/05/2011,0.06
11/06/2011,0.092
11/07/2011,0.093
11/08/2011,0.073
11/09/2011,0.072
11/10/2011,0.084
11/11/2011,0.107
11/12/2011,0.13
11/13/2011,0.055
11/14/2011,0.06
11/15/2011,0.059
11/16/2011,0.064
11/17/2011,0.049
11/18/2011,0.04
11/19/2011,0.072
11/20/2011,0.053
11/21/2011,0.093
11/22/2011,0.167
11/23/2011,0.038
11/24/2011,0.071
11/25/2011,0.052
11/26/2011,0.058
11/27/2011,0.101
11/28/2011,0.049
11/29/2011,0.016
11/30/2011,0.074
12/01/2011,0.09
12/02/2011,0.162
12/03/2011,0.11
12/04/2011,0.043
12/05/2011,0.073
12/06/2011,0.058
12/07/2011,0.118
12/08/2011,0.023
12/09/2011,0.006
12/10/2011,0.024
12/11/2011,0.089
12/12/2011,0.121
12/13/2011,0.02
12/14/2011,0.102
12/15/2011,0.012
12/16/2011,0.005
12/17/2011,0.104
12/18/2011,0.18
12/19/2011,0.084
12/20/2011,0.115
12/21/2011,0.143
12/22/2011,0.028
12/23/2011,0.11
12/24/2011,0.036
12/25/2011,0.096
